net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,distance_km,shared_days
G,SSB,45.279,4.542,MN,MEB,36.303,2.73,1009.600170281592,345
G,SSB,45.279,4.542,XB,PS37,38.999699,-4.9555,1047.8573567048113,727
G,SSB,45.279,4.542,CA,CPAL,42.310533,3.16244,348.1410329714692,3199
G,SSB,45.279,4.542,WM,UCM,40.307499,-3.2441,841.4443043685684,2729
G,SSB,45.279,4.542,MN,VSL,39.496,9.378,755.4726473599129,9690
G,SSB,45.279,4.542,GE,MAHO,39.895901,4.2665,598.9977937452664,2077
G,SSB,45.279,4.542,YD,GROM,41.072701,15.0594,971.5834357177948,268
G,SSB,45.279,4.542,YD,OBS14,39.169399,14.4694,1061.5025335226997,127
G,SSB,45.279,4.542,TT,TAMR,37.046902,9.1091,991.5681433135601,590
G,SSB,45.279,4.542,1K,GIAN,42.25078,11.10161,624.875671303826,367
G,SSB,45.279,4.542,CA,CFAR,40.5604,0.6614,612.3119959236363,3212
G,SSB,45.279,4.542,GE,CART,37.5868,-1.0012,971.5991458023195,2980
G,SSB,45.279,4.542,YR,ED15,42.527802,13.55816,783.8865127103368,274
G,SSB,45.279,4.542,CA,CARA,42.707643,0.818132,412.82100080464335,2956
G,SSB,45.279,4.542,YF,HVAR,43.177601,16.449,976.0781411815818,458
G,SSB,45.279,4.542,YI,GROG,43.426182,9.89201,472.51366440729277,341
G,SSB,45.279,4.542,YF,DUOK,44.113098,14.9318,830.8029773732533,535
G,SSB,45.279,4.542,YI,BARR,44.282799,12.0797,604.9134547627289,832
G,SSB,45.279,4.542,YI,BOB,44.767921,9.44782,389.673097631234,914
G,SSB,45.279,4.542,MN,BNI,45.052,6.678,169.34737424381512,9146
G,SSB,45.279,4.542,YG,CBP4N,45.978298,18.12705,1057.9321451903613,387
G,SSB,45.279,4.542,NI,ZOU2,46.558399,12.9729,667.1641853756313,754
G,SSB,45.279,4.542,CH,FUORN,46.620334,10.263551,466.6872015899656,6743
G,SSB,45.279,4.542,YG,CBP2J,47.367298,18.03178,1060.1267245761658,388
G,SSB,45.279,4.542,YG,CBP4F,47.720261,15.97801,915.456888536772,429
G,SSB,45.279,4.542,CH,SLE,47.7645,8.49236,409.4567685191851,4829
G,SSB,45.279,4.542,G,CLF,48.02579,2.26,351.5645359978822,4150
G,SSB,45.279,4.542,XM,A106,48.146099,13.5743,758.2272044190499,330
G,SSB,45.279,4.542,GB,JSA,49.18783,-2.17167,667.2750335161533,5993
G,SSB,45.279,4.542,GE,RUE,52.475899,13.78,1045.6051956884837,2394
G,SSB,45.279,4.542,CZ,PRIC,49.6693,12.6782,781.7212366703748,995
G,SSB,45.279,4.542,GB,HMNX,50.86733,0.33633,695.2569230614142,4929
G,SSB,45.279,4.542,NL,HGN,50.764,5.9317,618.5692539222973,7903
G,SSB,45.279,4.542,GB,GDLE,54.42183,-0.81567,1086.0057363372794,2870
G,SSB,45.279,4.542,GE,HLG,54.1847,7.8839,1018.6826548074087,1711
G,SSB,45.279,4.542,GB,CCA1,50.18667,-5.22767,910.7361180149752,4858
G,SSB,45.279,4.542,CZ,MORC,49.7768,17.5425,1094.7390497241333,1000
G,SSB,45.279,4.542,GE,IBBN,52.306301,7.7592,815.9525997237386,2508
G,SSB,45.279,4.542,GB,WACR,52.72433,0.62833,875.3916456333682,3376
G,SSB,45.279,4.542,CZ,TREC,49.2948,15.4871,937.3110262995515,999
G,SSB,45.279,4.542,CZ,BEDC,50.78933,15.16976,998.3109049583329,864
G,SSB,45.279,4.542,UK,STED,50.737,-1.9645,775.6596912618292,2909
G,SSB,45.279,4.542,WF,SPG,52.32553,-3.01928,958.362966207401,565
ZU,NZ24,-45.498402,176.002594,NZ,URZ,-38.259249,177.110894,810.1473787307467,363
ZU,NZ24,-45.498402,176.002594,ZU,NZ01,-44.4981,165.001602,871.4176362009288,356
ZU,NZ24,-45.498402,176.002594,ZU,NZ21,-39.5005,170.000107,828.3029117380427,348
ZU,NZ24,-45.498402,176.002594,ZU,NZ22,-44.500599,173.998703,192.69597599961048,364
ZU,NZ24,-45.498402,176.002594,ZU,NZ26,-46.997898,174.498398,202.91871218299067,362
ZU,NZ24,-45.498402,176.002594,ZU,NZ29,-45.247398,172.253494,294.15465274018635,361
ZU,NZ24,-45.498402,176.002594,ZU,NZ18,-41.000198,170.0,697.1280888117669,349
ZU,NZ24,-45.498402,176.002594,ZU,NZ04,-41.999298,165.502396,927.8860998672086,358
ZU,NZ24,-45.498402,176.002594,ZU,NZ12,-43.001701,169.598602,580.480154256325,354
ZU,NZ24,-45.498402,176.002594,Y3,CROE,-42.336498,171.398407,509.36487105344196,188
ZU,NZ24,-45.498402,176.002594,ZU,NZ05,-40.6493,167.251007,891.3399829842318,350
3H,G08,0.7564,-90.4024,3H,G56,-2.4299,-89.0249,385.97860946972264,435
3H,G08,0.7564,-90.4024,3H,G52,-2.3945,-91.89,387.43331429928134,437
3H,G08,0.7564,-90.4024,3H,G44,-1.8313,-93.8518,479.4491694318474,430
3H,G08,0.7564,-90.4024,3H,G39,-0.9632,-95.7405,623.5863679885701,438
