rank,network,station,lat,lon,days
0,G,SSB,45.279,4.542,14934
1,ZU,NZ24,-45.498402,176.002594,364
2,3H,G08,0.7564,-90.4024,444
3,JP,JGF,35.604,137.354172,4435
4,G,ROCAM,-19.75553,63.37014,4260
5,II,HOPE,-54.2836,-36.4879,10522
6,XN,BC03,61.229599,-120.422997,426
7,ZA,B21,7.9484,-147.358002,396
8,XA,S14,-3.6445,-17.47753,2294
9,S1,AUBRM,-17.9565,122.2321,1816
10,II,NIL,33.6506,73.2686,8344
11,2A,REF03,-68.686546,78.499031,27
12,XT,NAU,-0.506318,166.932632,463
13,XA,SA01,-34.294456,19.245956,509
14,3A,OBS2,38.64385,-62.89055,65
15,YY,SHER,10.5942,34.786201,684
16,1L,TIS1,75.0483,105.5827,17
17,BL,PP1A,-17.6003,-54.879601,354
18,IU,PTCN,-25.0713,-130.0953,9436
19,YT,MRTP,-74.188,-115.081,739
20,TM,SRIT,8.59549,99.601994,4362
21,NR,NE75,27.293341,-112.856491,2117
22,IU,MIDW,28.2154,-177.3697,9183
23,DK,ICESG,69.092201,-39.6474,2948
24,3J,OBS30,-14.95702,-167.2441,617
25,VE,GUNV,10.1449,-62.9426,689
26,PS,KOR,7.3436,134.4741,1196
27,OZ,AWOON,-24.07732,151.31468,702
28,XJ,BNG,55.192932,165.983902,275
29,C1,LL05,-41.405341,-73.47445,3432
30,AF,NSU,6.86685,7.41742,660
31,XG,ERGN,38.258743,39.728668,644
32,XL,HD72,48.7351,103.635696,645
33,G,CRZF,-46.43096,51.855308,14513
34,8S,FL01,38.584427,-28.796553,147
35,IN,MNC,8.281517,73.059799,3243
36,XK,W12MB,-14.0852,34.911201,685
37,G,TRIS,-37.0681,-12.3152,5757
38,7B,SS03,-36.54219,-154.34819,367
39,Y1,N7027,65.917526,23.97368,430
40,XI,SM37,44.381001,-93.380997,852
41,CW,SOR,22.7932,-83.008598,4064
42,8Q,P21,29.6944,-139.63128,439
43,ZJ,BEBP,-73.032547,156.869019,961
44,GE,SNAA,-71.6707,-2.8379,9756
45,YW,PJOR,16.984131,-25.19426,604
46,XO,WD60,52.644867,-156.579823,420
47,II,COCO,-12.1901,96.8349,10191
48,G,AIS,-37.79635,77.569186,9740
49,NB,OCBR,-4.58127,-38.392159,321
50,TW,VDOS,20.701,116.730598,641
51,ZD,FM03,-13.7229,-75.889503,559
52,YR,BANO,17.688869,54.438431,150
53,XE,EC01,-4.72613,-131.48519,320
54,KZ,CHKZ6,53.697498,70.600197,3519
55,A7,LUBAN,-14.90583,13.44833,365
56,XE,ES31,29.506283,96.755737,428
57,ZL,A21,31.995399,160.351196,38
58,XA,S15,26.13407,3.62981,2253
59,S1,AUTAR,-42.9425,147.3551,4012
60,ID,RPN,-27.1273,-109.334396,1000
61,IM,H01W2,-34.897079,114.134033,1465
62,XI,D55,26.105801,-44.840599,278
63,UO,LAIR,43.16148,-123.93143,3371
64,ZU,227,22.674228,-158.1445,35
65,AK,A19K,70.2043,-161.0713,1302
66,X5,CTSN,62.851799,-82.484642,1057
67,XF,E06,17.3333,149.300003,41
68,5A,KIMBE,-5.53671,150.126236,491
69,8A,KONI,-67.962303,-62.674702,60
70,G,PPTF,-17.5896,-149.56525,6312
71,VU,RTV,-17.7882,168.430603,373
72,ID,SEY,-4.673032,55.461128,823
73,IU,RAO,-29.245,-177.929,7081
74,II,SHEL,-15.9594,-5.7455,11033
75,ZD,G01,-4.4516,-106.260498,162
76,YC,SBA8,4.43208,118.095222,667
77,YF,MARJ,32.522598,20.8776,306
78,TO,CARR,17.2064,-99.510902,604
79,XD,PSP03,-89.929001,144.360992,915
80,G,FOMA,-24.97565,46.978877,5092
81,ZQ,103,36.419701,117.088501,432
82,1E,WHI,83.088333,-74.146667,366
83,IM,WK31,17.9275,167.499298,56
84,IU,YAK,62.031,129.6805,11516
85,YF,CDLV,29.163099,-13.4439,535
86,IM,I52H2,-7.37058,72.482361,3947
87,7B,SD05,-29.001301,133.585098,101
88,X6,NS10,-27.051001,-67.688004,610
89,XA,S11,0.67416,23.473146,21
90,PO,NWRL,53.5253,-60.1424,201
91,2A,46,-14.85,-118.3703,248
92,BL,STMB,-2.7515,-54.957199,113
93,CM,FLO2,1.582667,-75.652667,170
94,S1,AUNHS,-12.1874,136.7832,1911
95,GB,LEWI,58.1445,-6.869,731
96,IU,KIEV,50.7012,29.2242,9041
97,XD,DELB,-7.56202,110.462578,49
98,IU,FUNA,-8.5259,179.1966,7233
99,ON,RIB01,-19.314217,-40.394363,3428
100,YP,NEA9,47.6717,127.988297,691
101,XU,MACQ,-54.497299,158.938599,400
102,PS,SYO,-69.0067,39.585,10960
103,TX,435B,30.7827,-97.585,2738
104,IU,KOWA,14.4967,-4.014,1642
105,X9,YA03,-54.85568,-68.66536,39
106,4P,RET57,35.807823,-79.336545,23
107,ZV,WKZ09,44.8806,55.337601,20
108,1J,TI4A,-67.39725,114.135036,36
109,AF,POGA,-27.346,31.707,5604
110,XI,UQSK,25.789,42.360001,261
111,IU,KBS,78.9154,11.9385,11238
112,G,PAF,-49.351,70.210708,14359
113,XI,KITU,-1.373014,38.002075,179
114,IU,JOHN,16.7329,-169.5292,7182
115,XP,N16,39.146099,-108.593597,361
116,ON,TER01,-28.531839,-49.12907,983
117,CD,WMQ,43.821098,87.695,3149
118,ZC,SODR,19.7524,-70.5763,3871
119,TC,TRT1,10.598402,-83.699265,205
120,JP,JOW,26.836,128.272507,7185
121,II,FFC,54.725,-101.9783,11479
122,IU,XMAS,2.0448,-157.4457,8973
123,IU,BILL,68.0653,166.4531,10523
124,XT,PNI,7.006,158.15184,223
125,XS,S15D,0.1814,-6.6228,371
126,PO,MATQ,49.7589,-77.6376,3439
127,XV,BANJ,-13.6426,48.453701,234
128,AK,GLB,61.4417,-143.8123,4873
129,XF,NG010,27.461399,84.2799,153
130,ZM,N215,-78.904503,59.994301,874
131,Z1,Z01J,-11.10908,24.020639,522
132,PM,PESTR,38.867168,-7.590169,6895
133,IU,ADK,51.8823,-176.6842,9063
134,IU,KNTN,-2.7744,-171.7186,2997
135,ZB,LUNG,-2.2853,101.155602,276
136,PS,VIVO,18.6498,105.6965,1603
137,G,HYB,17.41867,78.55213,6332
138,XH,RS08,-79.3899,-163.539398,719
139,YY,SW05,56.7528,12.6313,249
140,2D,OBS13,32.654999,-123.828598,389
141,IU,HNR,-9.4387,159.9475,10864
142,Z6,01,27.766001,149.092804,378
143,YS,TL06,-8.4718,126.4576,1516
144,BX,KOOLE,-22.993059,20.195551,1138
145,IU,SAML,-8.9489,-63.1831,5723
146,XW,ADEN,12.77592,44.982441,761
147,TT,THTN,35.5616,8.6881,712
148,YL,B14W,-19.0427,-177.987701,326
149,ZV,XWAN,38.452499,102.6717,492
150,AI,BELA,-77.875,-34.6269,6118
151,XN,SARMI,-1.854546,138.753006,15
152,PQ,CMBN,69.1206,-105.0419,857
153,IU,MSKU,-1.6557,13.6116,1286
154,YA,LIQ1,23.48757,69.9161,15
155,MH,P0023,-24.176133,-141.1115,408
156,IU,YSS,46.9587,142.7604,12271
157,S1,AUCAR,-24.8851,113.6586,2038
158,MM,SIM,20.1332,92.885201,869
159,MN,PDG,42.4297,19.2608,1914
160,XW,KHA,44.208099,73.997299,786
161,MN,KEG,29.9275,31.8292,2324
162,MH,P0019,-15.399867,-130.741183,120
163,S1,AUTKS,-33.7846,151.0254,3236
164,G,TAOE,-8.85493,-140.14819,7580
165,1U,RUC,-36.124113,174.011005,345
166,ID,RAR,-21.212999,-159.7733,5404
167,IL,IR3,35.476112,51.02375,775
168,IU,TRQA,-38.0568,-61.9787,8531
169,XY,BS07,52.390099,-126.834999,416
170,NO,JMIC,70.986603,-8.5057,4292
171,YU,MD04,10.8953,-74.1514,737
172,AK,M11K,60.3849,-166.2011,1887
173,ZU,E118,46.122799,169.574997,26
174,IU,MA2,59.5756,150.77,9996
175,YS,PL59,16.989,-149.0009,363
176,1D,FOWL,-76.892838,-79.301125,677
177,PQ,TUKN,69.4382,-132.9945,1577
178,XU,COVA,-45.471199,161.161407,105
179,II,KWAJ,8.8019,167.613,5674
180,4P,MTB15,48.3131,-112.447,36
181,7B,SA02,-17.3633,144.484695,40
182,XE,LAJO,-17.77766,-67.477753,183
183,XP,N076,-80.806198,135.434006,246
184,M8,AY41,-27.9822,122.9615,389
185,C1,VA04,-33.6427,-78.8299,3914
186,CD,ENH,30.271799,109.486801,1770
187,G,SOK,14.494418,-16.456223,2429
188,12,OBS21,9.82879,-104.29892,366
189,GI,PETF,16.916298,-89.866737,2709
