key1,key2,distance_km,shared_days
G.SSB,MN.VSL,755.4726473599129,9690
IC.SSE,TW.KMNB,786.99826864136,9638
IC.QIZ,TW.KMNB,1069.0382751461011,9162
G.SSB,MN.BNI,169.34737424381512,9146
II.NIL,II.AAK,1004.996839001973,8068
US.HAWA,MB.HRY,589.707034364785,8022
G.SSB,NL.HGN,618.5692539222973,8015
CI.CIA,CI.PDM,407.1290392010434,7779
II.HOPE,AI.ORCD,869.1077243728968,7718
MB.HRY,US.MVCO,1092.829528210385,7317
US.AMTX,US.MVCO,664.169452646534,7129
JP.JOW,JP.JNU,742.8416212063886,7123
US.AMTX,US.ECSD,1075.753147175966,7113
JP.JHJ2,JP.JNU,832.050413234971,7112
AI.ORCD,AI.ESPZ,702.2948705687497,7034
US.DGMT,MB.HRY,604.7961279550493,6943
NL.HGN,CH.FUORN,559.599077914729,6943
MN.VSL,MN.WDD,608.6406716056351,6929
CU.BBGH,CU.GRGR,253.61355607391653,6927
US.ECSD,KY.LLKY,1045.3482271723242,6891
KN.ULHL,II.AAK,149.86845055753793,6828
MB.HRY,IE.BCYI,293.7170138671446,6800
II.FFC,US.DGMT,712.0747077244096,6774
II.LVZ,IU.KEV,369.80882654525584,6496
AK.PPLA,AK.PAX,339.9321719299387,6491
AK.SPIA,AK.GAMB,738.0722077395349,6489
CI.PDM,PB.B934,1046.5844274211279,6410
CU.ANWB,CU.BBGH,556.8799971995942,6371
GB.LRW,GB.GAL1,622.6083633988533,6364
GE.SUMG,GE.DAG,739.9118128812509,6294
AK.GAMB,AK.FALS,1095.5258650159146,6287
US.GLMI,US.ECSD,961.8181996670424,6277
MY.KSM,MY.SBM,238.14865378514196,6233
NL.HGN,GB.JSA,605.0379442607592,6226
IU.KBS,IU.KEV,1106.1889426601138,6215
MY.KOM,MY.SBM,932.6553000843962,6198
AK.TNA,AK.SPIA,940.177202523384,6071
PM.PESTR,PM.PFVI,221.20150574794525,6069
IC.QIZ,HK.HKPS,574.7344838663297,6044
AK.SPIA,AK.ATKA,608.4146531520842,6023
CU.ANWB,CU.GRTK,1068.1771052552524,5913
PM.PMOZ,PM.PFVI,900.133747682747,5899
AT.SMY,AK.ATKA,793.8556375665923,5889
KZ.MAKZ,II.AAK,750.8015438499951,5870
IC.HIA,IU.ULN,945.4275186928662,5856
GE.TIRR,HL.RDO,436.7607963529882,5829
GE.TIRR,PL.NIE,825.2608257796476,5761
IC.SSE,IU.TATO,681.3024936758891,5746
NL.HGN,DK.MUD,667.7787076436169,5732
YT.DUFK,YT.HOWD,846.0498004928901,5718
PM.PMOZ,II.CMLA,933.6809825058435,5675
GE.TIRR,HL.ARG,917.0836483305358,5647
GE.DAG,PL.HSPB,850.741330066974,5638
KR.BTK,II.AAK,419.4301258336248,5590
DK.SCO,GE.SUMG,623.8469398591633,5573
MY.KOM,MY.KUM,526.4803909894193,5569
II.UOSS,II.RAYN,1096.2069655865232,5564
DK.ANGG,DK.NRS,628.2187544067333,5544
GE.TIRR,PL.BEL,995.2539079828299,5537
AF.UPI,AF.CVNA,375.49515594091713,5517
GE.TIRR,HT.AGG,786.744954884312,5469
G.DRV,G.CCD,1109.536795429614,5455
IU.ULN,II.TLY,489.72348109637176,5453
AF.UPI,AF.HVD,480.5203532672666,5431
GE.TIRR,PL.KWP,719.1244641692058,5418
AK.FYU,AK.PAX,399.99058912123047,5360
AI.BELA,YT.DUFK,646.5409407451137,5316
GB.LRW,GB.DRUM,366.36437083167414,5310
IC.SSE,IU.INCN,867.4351516674121,5308
GE.TIRR,MN.DIVS,671.3097001477355,5285
GB.HMNX,GB.LRW,1034.9620099965914,5218
GB.CCA1,NL.HGN,791.5464800041445,5117
PM.PESTR,MN.RTC,546.4742282788287,5110
NL.HGN,CH.SLE,381.73776494053516,5082
YT.WAIS,YT.HOWD,588.4036461878154,5066
DK.NOR,PL.HSPB,820.1326867248822,5066
MN.CLTB,MN.BNI,993.6263746502985,5042
IU.YAK,IU.TIXI,1068.386572376351,5032
IC.QIZ,TM.CRAI,1000.6620505172768,4982
MN.WDD,MN.VTS,1062.5682191720425,4959
GE.TIRR,KO.ELL,866.4964431911812,4933
GT.CPUP,BL.RCLB,1083.2067827499657,4918
JP.JOW,JP.JMJ2,375.73988093573047,4908
AF.POGA,AF.UPI,1033.6108938627522,4905
YT.WAIS,YT.SILY,407.2645763266806,4893
JP.JOW,KG.TJN,1064.7852095339492,4848
IC.QIZ,TM.LOEI,884.1051328554644,4764
G.IVI,DK.NRS,147.61502354606904,4694
YT.THUR,YT.HOWD,634.1352372398679,4691
DK.DBG,PL.HSPB,1011.2442433230345,4688
WU.TOBO,KY.LLKY,1074.409347109579,4678
AK.GLB,AK.PAX,190.4123415351013,4643
GE.SUMG,DK.KULLO,627.2088759836532,4605
MB.HRY,TD.TD009,702.6486109694193,4586
GE.TIRR,KO.DKL,611.8633864221155,4519
US.ECSD,GS.DEC08,768.7187276710674,4468
GB.LRW,EI.IDGL,677.026921167806,4445
YT.SILY,YT.UPTW,413.5308103450858,4445
S1.AUPHS,S1.AUDCS,248.8327147059314,4411
JP.JTM,JP.JWT,787.5025680400202,4385
JP.JTM,JP.JSD,389.35972968192937,4385
JP.JSU,JP.JSD,1016.7889428114481,4384
JP.JHS,JP.JSD,570.2678652011862,4384
JP.JSD,JP.JMN,620.5380988205455,4384
JP.JSD,JP.JEW,598.2315104848831,4384
JP.JTU,JP.JWT,553.7137236900999,4383
JP.JGF,JP.JWT,180.64334087425672,4382
JP.JTM,JP.JMM,325.605112069738,4379
IC.QIZ,RM.SLV,670.124920008929,4369
CY.CBCY,CU.GRTK,918.7458516479677,4352
TM.PRAC,TM.CRAI,864.6741195479646,4340
JP.JMZ,JP.JNU,812.9912681668932,4327
YT.RMBO,YT.DUFK,202.57677721783827,4239
RM.DLV,IC.QIZ,800.3661268102178,4238
AF.MOPA,AF.HVD,980.70401099642,4224
AT.MID,AK.PAX,396.5956850513645,4220
NL.HGN,G.CLF,404.0191855011403,4220
YT.DUFK,YT.STEW,432.36368875970254,4220
NO.JMIC,GE.SUMG,1044.8625102802587,4187
MX.ZAIG,MX.MOIG,373.94352602235153,4148
S1.AUPHS,S1.AUUHS,475.32251043604606,4141
IM.TX02,US.AMTX,644.9772296133291,4140
LD.FRNY,US.GLMI,869.0958538582349,4085
MX.HPIG,US.AMTX,961.6441512566778,4078
IN.SHL,IC.LSA,465.50100713941566,4064
GE.TIRR,AC.VLO,854.7555604161951,4041
NM.WADM,US.ECSD,1003.1744870143526,4022
AF.UPI,AF.WIN,767.3534144165687,4012
TM.PRAC,TM.SRDT,225.73649691299707,3961
YT.BENN,YT.SILY,838.7807475287278,3954
IU.KIEV,MN.VTS,1007.5540177140546,3920
DK.NOR,DK.NEEM,815.9079208645076,3917
CM.RUS,EC.TULM,777.0264932963549,3900
AK.GLB,NY.MAYO,471.2670807358691,3884
KR.SFK,II.AAK,302.8158102441217,3869
IN.PBA,TM.PRAC,771.8330379638496,3819
C1.LL02,GT.PLCA,293.5867677510413,3806
S1.AUALB,S1.AUBUS,275.3098046467791,3804
C1.VA04,GT.PLCA,1075.7329248058797,3796
TM.SRIT,TM.PRAC,431.6254913837441,3777
KZ.AB06,KZ.OTUK,912.7132672377093,3764
DK.SOEG,DK.NRS,1024.4593754884693,3752
MB.HRY,RV.SWHSA,973.3149129084165,3747
PE.PSSK,PE.PAKC,169.1821312048176,3727
AT.SVW2,AK.PAX,567.5623965176285,3708
IU.TRQA,GT.PLCA,793.9925330951655,3686
KR.TRKS,II.AAK,303.66199890919285,3684
EC.TULM,CM.SJC,1060.7824290596839,3672
AF.SNKL,AF.UPI,638.0657413518824,3669
IC.QIZ,TM.NONG,714.1924640112262,3647
GB.LRW,EI.DSB,828.7631017896188,3626
TM.NAYO,IC.QIZ,1048.000170546376,3606
PQ.NBC8,TD.TD009,614.4864845676586,3604
II.EFI,C1.MG02,769.1966329400651,3591
YT.MPAT,YT.SURP,784.1737205147131,3529
GT.PLCA,C1.LR04,261.5579039905235,3526
NL.HGN,GB.WACR,425.0905195526516,3519
NN.RUB,PB.B934,316.1726820986675,3516
BL.RCLB,BL.PMNB,446.04911711250736,3505
ZC.SODR,CU.GRTK,204.03493411549942,3459
RV.DEDWA,TD.TD009,485.69300147619225,3458
S1.AUTAR,S1.AUUHS,884.8110961994925,3445
IC.QIZ,TM.UBPT,624.4783741050614,3445
US.MVCO,TX.BRDY,1091.6403896691618,3444
C1.VA04,C1.CO05,828.1252442556181,3419
CM.PRV,CY.CBCY,727.7710121409527,3382
CW.SOR,CY.CBCY,478.34315383747077,3368
UO.LAIR,MB.HRY,1029.5883499396762,3360
CA.CFAR,PM.PFVI,905.1218044599908,3356
YT.HOWD,YT.PECA,935.647148097476,3346
CM.RUS,CM.TUM,772.3591187399201,3339
NL.HGN,CA.CPAL,963.3683021494454,3337
C1.LL05,GT.PLCA,256.23366905085,3324
BC.TJX,PB.B934,1009.2511096439272,3323
MM.NGU,MM.TGI,225.13936087335844,3308
PO.MATQ,WU.TOBO,582.3158691316269,3304
AI.ORCD,IU.PMSA,1075.0535223920856,3297
MY.KOM,TM.SKLT,697.532505459782,3289
TX.DKNS,TX.BRDY,320.3822897169064,3286
EC.PUYO,EC.TULM,247.0622744592502,3282
II.AAK,TJ.CHGR,631.0769729179957,3271
S1.AUHPC,S1.AUPHS,1105.0201289039967,3270
RM.SZP,TW.KMNB,797.8903025166292,3240
CU.BBGH,WI.SLBI,181.55703562836598,3178
CW.SOR,CW.CCCC,603.2460062669207,3166
IC.HIA,CB.HEH,561.296710202135,3156
Y5.PER,MB.HRY,830.4036875729962,3155
US.ECSD,WY.YHR,1078.2696848904563,3145
CB.SNY,IC.HIA,879.5222127860328,3141
CB.DL2,JP.JNU,1050.299802284623,3132
PE.PBL2,PE.PSSK,318.76374014353144,3122
GB.LRW,GB.LAWE,496.7013983676552,3121
MB.HRY,UO.RSBO,866.5586639453664,3121
JP.JOW,CB.NJ2,1080.040777700127,3119
YT.SIPL,YT.MPAT,418.2388025329391,3096
PM.PFVI,CA.CARA,1028.8297055796093,3095
S1.AUALB,S1.AUMAZ,375.0405396026579,3093
YT.MILR,YT.MPAT,1007.004306203303,3091
CB.WHN,TW.KMNB,784.1895202232477,3083
IC.QIZ,MM.KTN,1099.1283730749408,3082
S1.AUTKS,S1.AUDCS,282.35591810738947,3056
GE.PSZ,GE.RGN,866.7947666574689,3039
YT.DEVL,YT.MPAT,904.8588353508626,3025
PQ.NAB2,TD.TD009,720.1672827892139,3011
GB.GDLE,GB.LRW,635.7578109877629,3011
IU.BILL,AK.GAMB,1091.9539292975967,2994
IN.MNC,II.PALK,849.39623321461,2984
G.SSB,GE.CART,971.5991458023195,2980
NL.HGN,UK.STED,555.2653953403253,2943
GE.CART,GE.MTE,645.9530496944308,2940
CB.WHN,IC.XAN,640.9565750245295,2925
S1.AUDCS,S1.AUJCS,943.0332429826519,2924
DK.ICESG,DK.NRS,921.4737516432931,2898
KP.UPNV,DK.SOEG,1040.2027488406745,2892
AK.GLB,NY.TGTN,823.0147774638776,2887
IN.SHL,IO.EVN,566.9700274451553,2869
MM.YGN,MM.KTN,609.8979524941826,2859
WM.UCM,PM.PFVI,599.1192978676288,2835
YT.FALL,YT.SILY,946.5555342705853,2835
DK.DY2G,DK.NRS,593.1582308189684,2834
YT.KOLR,YT.SILY,172.9722477599252,2825
IC.QIZ,TM.CHBT,1062.7641152470537,2806
CW.SOR,CW.CHIV,750.9663196202162,2801
S1.AUJCS,S1.AUCAS,291.8444404592586,2795
O2.SC12,US.ECSD,1007.6447723677342,2753
GT.CPUP,ON.PET01,1035.624983694716,2732
ON.RIB01,BL.RCLB,817.7716661183757,2717
