original_station,replacement_station,distance_km,replacement_days_in_key_index,n_candidates_found,n_candidates_with_data,status
2A.REF03,2A.REF08,0.7,25.0,257.0,250.0,OK
3A.OBS2,3A.OBS1,42.0,68.0,1080.0,302.0,OK
1L.TIS1,,,,0.0,0.0,no nearby candidate with confirmed archived data
IU.PTCN,,,,1.0,0.0,no nearby candidate with confirmed archived data
IU.MIDW,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlon (format exception):expected a value between -180 and 180 but received(-187.3697)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=18.2154&maxlatitude=38.2154&minlongitude=-187.3697&maxlongitude=-167.3697&level=station
Request Submitted:
2026-09-23T20:47:29
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
PS.KOR,XB.ELYHK,340.5,1331.0,17.0,12.0,OK
G.CRZF,,,,1.0,0.0,no nearby candidate with confirmed archived data
G.TRIS,IU.TRIS,0.0,2759.0,31.0,29.0,OK
II.COCO,AU.I06H8,3.9,2589.0,44.0,32.0,OK
G.AIS,,,,3.0,0.0,no nearby candidate with confirmed archived data
YR.BANO,YR.DAHO,20.4,332.0,171.0,159.0,OK
ZL.A21,ZL.A20,25.0,38.0,30.0,29.0,OK
XA.S15,XB.PM34,947.2,1306.0,1857.0,97.0,OK
ID.RPN,II.RPN,0.1,12256.0,5.0,3.0,OK
XI.D55,XI.D16,2.6,278.0,32.0,32.0,OK
ZU.227,YS.PL47,7.3,390.0,3695.0,1184.0,OK
XF.E06,XF.E07,18.6,38.0,207.0,181.0,OK
8A.KONI,AI.SMAI,185.1,6639.0,54.0,47.0,OK
ID.SEY,II.MSEY,2.0,9599.0,4.0,3.0,OK
II.SHEL,IM.H10S1,1241.8,949.0,26.0,8.0,OK
IM.WK31,IM.H11S2,104.7,919.0,21.0,18.0,OK
YF.CDLV,XJ.0605,307.0,4.0,2308.0,309.0,OK
IM.I52H2,IM.I52H5,0.6,1100.0,18.0,11.0,OK
XA.S11,G.BNG,688.6,3313.0,131.0,96.0,OK
XD.DELB,XD.LBAB,2.0,28.0,90.0,59.0,OK
IU.FUNA,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid maxlon (format exception):expected a value between -180 and 180 but received(189.1966)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-18.5259&maxlatitude=1.4741&minlongitude=169.1966&maxlongitude=189.1966&level=station
Request Submitted:
2026-09-23T20:47:36
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
XU.MACQ,AU.MCQ,0.2,7679.0,39.0,20.0,OK
PS.SYO,,,,1.0,0.0,no nearby candidate with confirmed archived data
X9.YA03,X9.YA04,0.7,36.0,342.0,263.0,OK
4P.RET57,4P.NCT57,0.0,15.0,14509.0,3403.0,OK
ZV.WKZ09,ZV.WKZ10,79.8,17.0,284.0,243.0,OK
1J.TI4A,1J.TI1A,9.0,37.0,13.0,11.0,OK
G.PAF,,,,1.0,0.0,no nearby candidate with confirmed archived data
IU.JOHN,ZK.KTF1,1181.2,4.0,6.0,4.0,OK
IU.XMAS,ZA.B08,1283.9,387.0,6.0,5.0,OK
XT.PNI,XT.TKK,692.8,522.0,23.0,17.0,OK
IU.KNTN,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlon (format exception):expected a value between -180 and 180 but received(-181.7186)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-12.7744&maxlatitude=7.2256&minlongitude=-181.7186&maxlongitude=-161.7186&level=station
Request Submitted:
2026-09-23T20:47:45
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
PS.VIVO,CD.QIZ,438.4,2530.0,570.0,29.0,OK
G.HYB,YA.BAC1,1076.7,15.0,46.0,45.0,OK
XN.SARMI,XN.PADA,250.4,23.0,23.0,14.0,OK
YA.LIQ1,YA.DUD1,28.5,15.0,12.0,11.0,OK
MH.P0019,XE.EC05,856.4,394.0,17.0,15.0,OK
